id,title,name,category,material,brand,price,rating,reviewsCount,description,url,img_url,inStock,inStockText
B0CJF5XL35,"200 Pack 8x4.75x10 Inch Medium Brown Paper Bags with Handles Bulk, Joybe Kraft Paper Gift Bags for Birthday Party Favors Grocery Retail Shopping Business Goody Craft Blank Sacks (Plain Natural 200pcs)",gift bags,health household,paper,Joybe,45.99,4.8,127,medium size gift bags these kraft paper bags measure inches in length inches in width and inches in height they are highly suitable for various occasions such as valentines day gifts shopping trips holiday presents party favors retail packaging merchandise storage and wedding welcome bags rugged durable crafted from sturdy g kraft paper material these gift bags possess exceptional durability and can withstand a weight of up to pounds this ensures they meet the demands of your daily life activities ecofriendly paper bags made entirely from recycled paper materials that are biodegradable and recyclable without emitting any unpleasant odors additionally their appearance exudes elegance when used as gift bags unleash your creativity the gift paper bag is blank you have the freedom to add your desired logo or patterns through diy customization unleash your imagination and creativity to make them truly unique shopping worryfree if you encounter any issues with our gift bags or if youre not completely happy with your purchase experience for any reason whatsoever please feel free to email us so we can promptly resolve it for you,https://www.amazon.com/dp/B0CJF5XL35,https://m.media-amazon.com/images/I/715Rw-2on5L.__AC_SX300_SY300_QL70_ML2_.jpg,True,in stock in stock
B08RNJ1K7W,"12 Black Basket Tags, Acrylic Label Holders for Storage Bins, Hanging Labels with Jute String, Personalized Gift Tag",key tags,office products,acrylic,SAVVY & SORTED,16.99,4.6,349,home pantry organization blank acrylic organizing tags with natural jute twine string professional organizers love basket tags uplevel your home organization with label hanging tags to organize kitchen office closets and toys find it fast write directly on tags or use preprinted pantry labels stickers to identify whats inside modernize your home plenty of tags and string to fit wire baskets and large fabric storage bins black acrylic basket label tags perfect for a farmhouse labels or minimalist labels styled home,https://www.amazon.com/dp/B08RNJ1K7W,https://m.media-amazon.com/images/I/81k9HuyKYXL.__AC_SX300_SY300_QL70_ML2_.jpg,True,in stock
B0DK2R7S12,"Tenn Well Natural Jute Twine, 1500 Feet 2mm Garden Twine, Brown Jute String for Arts and Crafts, Gardening, Gift Wrapping, Bundling, Recycling, Holiday Decorations",twine,tools home improvement,brown,Tenn Well,12.99,4.6,5127,made from high quality jute fiber this twine offers reliable performance for a range of gardening crafting and home organizing tasks providing a natural sturdy solution extralong length with a generous feet of twine it offers ample material for tying plants bundling or creating beautiful decorations without frequent replacements ideal thickness soft yet sturdy the mm garden twine provides strength without causing damage to the items youre securing great for tying plants like tomatoes cucumbers or beans to stakes trellises or cages for better growth and support wide application perfect for gardening tasks like tying plants vines and trellises this jute twine also excels in gift wrapping crafting bundling home diy projects holiday decorations offering endless creative possibilities convenient to use packaged on a convenient coil its easy to use and wont get tangled allowing you to cut any desired length effortlessly,https://www.amazon.com/dp/B0DK2R7S12,https://m.media-amazon.com/images/I/81hvOTRRbVL.__AC_SX300_SY300_QL70_ML2_.jpg,True,in stock
B00VSXEVDU,"J & M Home Fashions Eco-Friendly Sturdy Rolled Natural Indoor/Outdoor Jute Rug, 22x60"", 1-Piece, Natural",area rugs,home kitchen,natural jute fiber,DII,18.95,4.6,366,jute rug measures x approximately thick made of durable jute a shiny vegetable fiber spun into coarse threads scrape dirt easy care easily scrape off dirt dust grit mud grass or snow the natural and neutral tones fit with any home and office style and color biodegradable may be composted after its usable life,https://www.amazon.com/dp/B00VSXEVDU,https://m.media-amazon.com/images/I/81J055W0D2L.__AC_SX300_SY300_QL70_ML2_.jpg,True,in stock
B0CTMPVCB9,"HOMEMONDE Handcrafted Woven Rectangle Jute Rug - Rustic Braided Reversible Area Rug - Farmhouse Indoor Floor Rug - Eco Friendly Rug for Kitchen/Hallway/Living Room/Bedroom (Dark Grey Striped, 3'x5')",area rugs,home kitchen,jute,HOMEMONDE,35.99,4.3,449,natural jute crafted from premium jute fibers sourced from sustainable plants our rugs are fully handmade and biodegradable each rug undergoes rigorous quality inspections to ensure durability and beauty making it an ecofriendly addition to your home decor exceptional durability designed to last our x inch rectangle jute rugs feature a superior braided texture that enhances their strength and longevity perfect for any space in your home this stylish decor item is crafted with care for our valued customers ensuring it looks great year after year charming braided texture featuring a beautiful braided design this rug effortlessly blends farmhouse bohemian and coastal aesthetics it enhances a variety of decor styles making it a versatile and stylish addition to any room in your home sleek and functional design with a inch thickness this rug is ideal for convenient placement in entryways and under furniture ensuring it wont obstruct doorways enjoy a stylish look without compromising on practicality effortless care for lasting beauty to maintain your jute rugs charm vacuum to times a week using the suctiononly attachment for stains gently blot the affected area with a clean damp cloth these simple steps will keep your rug looking gorgeous for years to come,https://www.amazon.com/dp/B0CTMPVCB9,https://m.media-amazon.com/images/I/81NbNpqeRWL.__AC_SX300_SY300_QL70_ML2_.jpg,True,only left in stock order soon
B0DND6VNPX,Vacuum Insulated Stainless Steel Double Wall Water Bottle Travel Coffee Mug - 40 oz Tumbler with Handle and Straw & 6PCS Cup Accessories for 40 oz Cup,tumblers,home kitchen,leak proof lightweight nonslip vacuum insulated double wall,Sanilinwild,21.99,5.0,2,good quality this ounce insulated tumbler with handle and straw is made of premium food grade stainless steel with a powder paint coat finish that makes it durable scratch resistant and ensures the cup remains odorfree perfect for all your daily and travel needs package contents everything you need is in the boxpcs ounce insulated tumblerincludes pcs water bottle strap pcs rubber cup ring pcs daisy straw cap pcs water bottle boot pcs butterfly key chain hanger more than a carrying accessory its a trendy addon to your bottle cupholder friendly the tapered design along with a comfortable ergonomic silicone handle makes this the perfect travel coffee cup or water tumbler it fits in most cup holders and is built for everyday use perfect at home the office the gym or on the go take us with you earthfriendly durability made with recycled bpafree stainless steel this tumbler offers a sustainable choice for enjoying your favorite drinks the sturdy construction and reusable stainless steel straw support an ecoconscious lifestyle perfect gift for your family and friends if you are looking for the perfect birthday or holiday gift dont miss this oz tumbler this insulated iced coffee cup for sports travel driving and moreit can be a surprise gift for your family friends colleagues,https://www.amazon.com/dp/B0DND6VNPX,https://m.media-amazon.com/images/I/61qHPD-Xr5L.__AC_SX300_SY300_QL70_ML2_.jpg,True,only left in stock order soon
B07YQL5B6N,Warhol Santa & Soup Cans - Reversible Holiday Wrapping Paper - Eco Gift Wrap Allport Editions x Wrappily,gift wrap paper,health household,paper,Wrappily | Eco-friendly Gift Wrap Company,15.95,4.4,441,eco wrapping paper with pop art christmas patterns warhol santa soup cans doublesided wrapping paper sheets x reversible coordinating patterns printed on premiumgrade newsprint with soybased inks recyclable compostable made in the usa perfect christmas wrapping paper for kids families men teens friends coworkers artlovers,https://www.amazon.com/dp/B07YQL5B6N,https://m.media-amazon.com/images/I/71H4Rm0ZljL.__AC_SY300_SX300_QL70_ML2_.jpg,True,only left in stock order soon
B07B1QJ324,Trade Star Kilim Pillow Cover Ethnic Pillow Cover Home Decor Vintage Square 70% Jute 30% Wool Handwoven Pillow Case 18X18 Indian Cushions Decorative Pillow Sham Cushion Cover (Pattern 11),throw pillow covers,home kitchen,pattern,Trade Star,35.99,4.6,47,jute wool product size x inches x cms approx square cushion cover product detail jute wool kilim pillow covers with thick cotton backing and heavy zipper enclosure pattern made with best exports quality material the package only includes piece of cushion cover fillerinsert is not included usage this lovely handmade cushion cover made with the upmost quality craftsmanship is for anyone who prefers artistry and asymmetry a beautiful pillow case to add traditional yet modern comfort to any room this decorative throw cover blends easily and effortlessly with existing furniture and accessories and could be used for car chair sofa love seat cushions suggestion these cushion covers are best utilized indoor is suggested for initial weeks shedding of material fibers is typical and will decrease with time and use our popular life home products are meticulously handmade by our artisans this may result in a slight variation from one item to the next colors may slightly vary from shown images due to screen resolution,https://www.amazon.com/dp/B07B1QJ324,https://m.media-amazon.com/images/I/81QHFFVYFGL.__AC_SX300_SY300_QL70_ML2_.jpg,True,only left in stock order soon
B0D5CYWZKS,"Meowy Catmas Wooden Christmas Ornament - Festive Cat-Themed Holiday Tree Decoration for Cat Lovers, Eco-Friendly Laser-Cut Keepsake",hanging ornaments,home kitchen,unknown,Donawings,9.99,4.6,161,charming cat design features a snowflake shape adorned with cute cat illustrations and meowy catmas lettering in festive red meowy christmas tree ornament highquality craftsmanship made from premium ecofriendly wood with detailed lasercut precision for a unique and durable ornament perfect holiday decoration lightweight and easy to hang this ornament adds a whimsical touch to any christmas tree or holiday display great gift for cat lovers a thoughtful and playful present for friends family or anyone who adores cats,https://www.amazon.com/dp/B0D5CYWZKS,https://m.media-amazon.com/images/I/816WBUHcTaL.__AC_SX300_SY300_QL70_ML2_.jpg,True,in stock
B08CXS94S1,"Christmas Gift Bags,40Pcs Santa Wrapping Bag in 4 Sizes and 4 Designs with Inserted Drawstring Ribbons and Tags for Wrapping Holiday",gift bags,health household,aluminized polymer,WesGen,26.99,4.8,1790,packaging includes x xmas gift bags with inserted drawstring ribbons and x gift tagsdress up any gift in these classic stylish bags and create a beautiful way to present your gift more convenient drawstring bags ribbons stay with bagsmore convenient and time saving when wrapping gifts different patterns in sizes jumbo large medium and small sizes perfect for all kinds of gifts durability and reusable made from food grade aluminized polymer these ecofriendly bags can be enough sturdy and reused by the person you give the gift to application super value pack for christmas gift wrapping perfect for christmas decoration christmas gift wrapping christmas gift decoration classrooms party favors holiday gift extraspecial decorating parties weddings christmas trees wine bottles and more,https://www.amazon.com/dp/B08CXS94S1,https://m.media-amazon.com/images/I/71qqw4RQwYL.__AC_SX300_SY300_QL70_ML2_.jpg,True,in stock
B08MYJBSCV,"ECO SOUL Compostable 8 Inch Palm Leaf Square Plates (50 Count) Like Bamboo Plates | Biodegradable | Eco-Friendly, Microwave & Oven Safe",plates,health household,tan,ECO SOUL,29.91,4.5,2013,eco soul palm leaf plates are made from naturally fallen palm leaves making them a sustainable and environmentally friendly choice these plates are compostable and biodegradable ensuring they break down naturally without harming the environment usda biopreferred certified free from harmful chemicals bpa dyes and toxins safe to dispose of without leaving harmful waste eco soul plates are sturdy and reliable able to hold up well against heavy and hot foods without bending or breaking you can safely reheat food on these plates in the microwave or oven providing convenience without compromising on quality,https://www.amazon.com/dp/B08MYJBSCV,https://m.media-amazon.com/images/I/81WwmMLPlUL.__AC_SX300_SY300_QL70_ML2_.jpg,True,in stock only left in stock order soon
B0BJTW1KDZ,"Tenn Well 328 Feet 4mm Jute Twine, Thick Twine Rope for Crafts, Gift Wrapping, Bundling, Gardening, Christmas Decor and Macrame Projects",twine,tools home improvement,brown,Tenn Well,16.99,4.7,3132,natural twine made of natural jute fiber this twine string is biodegradable soft and easy to work with great for making gift wrap wrapping wine bottles pots and planters to give a rustic touch thick twine mm in thickness the natural jute twine is twisted strands without fraying and unraveling it handles easily and holds knots tightly length feet meters in length the thick string is long enough to create several crafting projects wide application the jute rope can be used to wrap presents decorate mason jars its also great for diy arts and crafts bundling recycling gardening applications thanksgiving and christmas decorations convenient to use packed on a coil its convenient and wont intertwined with each other easy to cut and tie things up,https://www.amazon.com/dp/B0BJTW1KDZ,https://m.media-amazon.com/images/I/81Oq0ORJNEL.__AC_SX300_SY300_QL70_ML2_.jpg,True,in stock
B0977RVNXG,"DII Jute Burlap Collection Kitchen Tabletop, Table Runner, 14x108, Middle Stripe Artichoke",table runners,home kitchen,table runner x,DII,13.39,4.2,5766,jute for your table this table runner measures x in size appropriate for a table that can seat people easy care juteburlap to clean shake briskly or wipe with damp sponge or cloth adds a finishing touch adorn our neutral table runner with lace ribbon or fabric paint to suit your occasion keep it simple or layer to achieve a farmhouse style enhance your home set in the foyer or on entryway tables for a warm and earthly welcome all year round,https://www.amazon.com/dp/B0977RVNXG,https://m.media-amazon.com/images/I/81gYGN3acnS.__AC_SX300_SY300_QL70_ML2_.jpg,True,in stock
B0BN3TT9C4,"WAPLIGHAL Pink Birthday Wrapping Paper for Girls Boys Kids - Poka dots, Star, Gold Glittering Butterflies Design - Birthdays, Holidays, Graduation Gift Wrap - 20 X 29 Inch Per Sheet (8 Precut Folded",gift wrap paper,health household,paper,WAPLIGHAL,9.99,4.4,595,great value wrap pink birthday wrapping paper include sheets in patterns each paper measures inches wide by inches long one set will wrap several medium and small birthday gifts quickly and easily exquisite and unique design this holiday wrapping paper set has kinds of unique designs containing colorful poka dots butterfly gold the golden star with a pink stripe and pinkblack handdrawn circles round shapes this design makes your gift look more cute and unusual premium gift wrapping paper made of highquality paper with glossy finishes advanced printing technology clear pattern and supreme hand feels and texture sufficient paper thickness will not be torn easily during packaging ecofriendly if you looking for recyclable wrapping paper this paper is printed using environmentally friendly inks onto gsm fsccertified paper making it fully recyclable it will be a good choice for you use all occasions perfect for birthdays holidays christmas weddings mothers day baby showers and graduation gift wraps it is also great for a craft project,https://www.amazon.com/dp/B0BN3TT9C4,https://m.media-amazon.com/images/I/81zDyPAmDML.__AC_SX300_SY300_QL70_ML2_.jpg,True,only left in stock order soon only left in stock order soon
B0DQL83T5P,"RUSPEPA Wrapping Paper Roll, Gift Wrapping Paper, 30 Inches x 32.8 Feet, Gift Wrap with Make America Great Again Text Pattern Great for Birthday, Holiday and Party",gift wrap paper,health household,paper,RUSPEPA,19.99,4.6,63,features the wrapping paper printed make america great again text on white background its simple yet elegant adding a touch of sophistication to any gift size the inches wide by feet long is designed for convenience the compact size suitable for small and medium gift wrapping paper while being easy to store among your craft supplies highquality paper crafted with durable paper this gift wrap offers excellent strength and reliability tearresistant and durable it ensures your gifts stay beautifully wrapped without ripping or wrinkling practical wrapping solution crafted from durable responsibly sourced materials our wrapping paper gift is designed with minimal waste in roll packaging and a natural look its sturdy design allows for multiple uses offering a stylish and ecoconscious choice all occasions these wrapping paper are perfect for th of july memorial day birthday holiday and can be used to add a splash of color to all of your gifts please do not store in direct sunlight,https://www.amazon.com/dp/B0DQL83T5P,https://m.media-amazon.com/images/I/817m4aEcYWL.__AC_SX300_SY300_QL70_ML2_.jpg,True,in stock in stock
B0CXJ1ZRSJ,"Burlap Ribbon 1 inch Wide 10 Yards Rustic Jute Ribbons for Crafts, Burlap Ribbon for Wreath, Garland, Tree Outdoor, Wedding, Christmas Halloween Decoration Fabric Ribbon for Gift Wrapping",ribbons,arts crafts sewing,hiswan,Hiswan,7.99,4.7,33,ribbon size the burlap ribbon is inch wide yards in length enough to meet your daily needs high quality material our jute ribbon is made of high quality jute fiber ensuring durability and longlasting quality every inch has been engineered to provide excellent support and finish for your project wide uses this natural rustic jute wrap ribbon is perfect for a variety of crafting and decorating projects whether used to wrap gifts make garlands ornaments or decorate your home and christmas tree the gift ribbon can show a unique natural style natural look fabric burlap ribbon has a natural rough texture and yellowish hue adding a touch of raw and rustic style to your project its ideal for creating a farmhouse style or outdoor themed decoration environmentally friendly and sustaninable as a product made of natural fibers our jute burlap ribbon meets environmental standards choosing our solid ribbon will not only meet your decorative needs but also contribute to the earth and make your creativity more meaningful,https://www.amazon.com/dp/B0CXJ1ZRSJ,https://m.media-amazon.com/images/I/71PNvG4HPdL.__AC_SX300_SY300_QL70_ML2_.jpg,True,in stock
B07DN83RY2,"Juvale 200 Pack Kraft Paper Gift Tags with Jute Twine String - Large Blank Merchandise Price Labels 2.4 x 3.5 - Bulk Brown Hang Tag Set for Wedding, Birthday, Art & Craft Wrapping",key tags,office products,paper,Juvale,8.54,4.7,279,gift tags with string attached add the final touch to gifts for friends family clients and customers with these blank brown tags with a string attached and prepunched holes multipurpose decorate the craft tags with string using stamps stickers markers and other markings to personalize product tags bookmarks or onsale clothing labels get creative these tags are each made from gsm kraft paper with a blank surface making them an excellent choice for mothers love letters thank you notes and small business customization add a personal touch each one of the blank brown tags with hole measure x inches and each one of our sturdy jute strings measures inches in total length tag youre it in this bulk set you will receive rectangular brown price tags with string attached a prepunched hole and a blank surface to add to your gifting and clothing display supplies,https://www.amazon.com/dp/B07DN83RY2,https://m.media-amazon.com/images/I/71LlIm2kaRL.__AC_SX300_SY300_QL70_ML2_.jpg,True,in stock in stock
B0DB8DDPFL,"Merry Christmas Wrapping Paper Set, 6 Folded Sheets Green Red Kraft Xmas Wrap, Holiday Deer Trees Santa Snowman Kraft Winter Holiday New Year Gift Wrap for Women, Men, Boys, Girls",gift wrap paper,health household,paper,BWLOIES,7.99,4.5,726,package content the modern christmas wrapping paper set includes sheets of neutral kraft gift wrapping paper christmas come with gift tags and rolls of gift ribbon the size of the variety christmas paper is inches x inches suitable for most gifts ranging in size from small to medium a great value package to meet your chritmas gift wrap needs ecofriendly winter wrapping paper sheets the green and red xmas wrapping paper classic made of gsm premium kraft paper biodegradable and recyclable after usethese holiday wrapping papers are a way to protect our environment you can wrap gifts quickly and efficiently with these assorted christmas wrap paper without worrying about unnecessary rips or tears christmas themed design these holiday gift wrap christmas full of strong christmas atmospherethe main colors are red and greenprinted with merry christmashappy new year christmas tree snowmansanta claus gifts snowflakes christmas stockings candy bells and other patternsthis papel de regalo navidad with a handpainted and graffiti design wide range of use the christmas gift wrapper paper is perfect for present wrap like clothesbooksgoodiestoys and so on not only for thick chrsitmas gift wrapping paper victorian and new year gift wrapping paperalso good for craft projectstable coveringswrap flowers or other diy project meanwhile these cute gift wrap xmas are suitable for anyone women men boys girls fathers mothers sons daughters friends neighbors classmates etc kindly reminder the natural santa wrapping paper kit is folded into size and sealed in bags for shipping and there will be creasesbut it does not affect usage of the snowman wrapping paper,https://www.amazon.com/dp/B0DB8DDPFL,https://m.media-amazon.com/images/I/81bZMWZQTJL.__AC_SX300_SY300_QL70_ML2_.jpg,True,in stock
